Error word & consecutive word,Corrected words & its,Annotation
ஆரம்ப பள்ளிக்,ஆரம்பப் பள்ளிக்,மகர ஈற்று
ஆரம்பகட்ட ஆலோசனை,ஆரம்பக்கட்ட ஆலோசனை,மகர ஈற்று
ஆரம்பகட்ட ஊழியர்கள்,ஆரம்பக்கட்ட ஊழியர்கள்,மகர ஈற்று
ஆரம்பகட்ட நோக்கம்,ஆரம்பக்கட்ட நோக்கம்,மகர ஈற்று
ஆரம்பகட்டங்களிலேயே மாணவர்களை,ஆரம்பக்கட்டங்களிலேயே மாணவர்களை,மகர ஈற்று
ஆரம்பகால அரசியல்,ஆரம்பக்கால அரசியல்,மகர ஈற்று
ஆரம்பகால எழுத்தறிவு,ஆரம்பக்கால எழுத்தறிவு,மகர ஈற்று
ஆரம்பகால குழந்தை,ஆரம்பக்காலக் குழந்தை,மகர ஈற்று
ஆரம்பகால குழந்தைப்,ஆரம்பக்காலக் குழந்தைப்,மகர ஈற்று
ஆரம்பகால குழந்தைப்பருவ,ஆரம்பக்காலக் குழந்தைப்பருவ,மகர ஈற்று
ஆரோக்கிய சமையல்,ஆரோக்கியச் சமையல்,மகர ஈற்று
இடைக்கால தடை,இடைக்காலத் தடை,மகர ஈற்று
இதிகாச கதைகள்,இதிகாசக் கதைகள்,மகர ஈற்று
இயக்க திறன்கள்,இயக்கத் திறன்கள்,மகர ஈற்று
இயந்திர கற்றல்,இயந்திரக் கற்றல்,மகர ஈற்று
இலக்கிய படைப்புகள்,இலக்கியப் படைப்புகள்,மகர ஈற்று
இலவச சரிசமமான,இலவசச் சரிசமமான,மகர ஈற்று
உத்தேச தேசிய,உத்தேசத் தேசிய,மகர ஈற்று
உயர்தர கல்வி,உயர்தரக் கல்வி,மகர ஈற்று
உயர்தர கல்வியை,உயர்தரக் கல்வியை,மகர ஈற்று
உயர்தர கற்றலுக்கு,உயர்தரக் கற்றலுக்கு,மகர ஈற்று
உயர்தர கற்றல்,உயர்தரக் கற்றல்,மகர ஈற்று
உயர்தர திட்டங்கள்,உயர்தரத் திட்டங்கள்,மகர ஈற்று
உயர்தர பாட,உயர்தரப் பாட,மகர ஈற்று
உயர்தர பாடத்திட்டம்,உயர்தரப் பாடத்திட்டம்,மகர ஈற்று
உயர்தர பாடநூல்,உயர்தரப் பாடநூல்,மகர ஈற்று
உயர்தர பாடப்புத்தகங்களை,உயர்தரப் பாடப்புத்தகங்களை,மகர ஈற்று
உயர்தர புத்தகங்கள்,உயர்தரப் புத்தகங்கள்,மகர ஈற்று
உயர்ந்தபட்ச தரமதிப்பீட்டினை,உயர்ந்தபட்சத் தரமதிப்பீட்டினை,மகர ஈற்று
உயர்மட்ட கல்வி,உயர்மட்டக் கல்வி,மகர ஈற்று
உருவ சிலைக்கு,உருவச் சிலைக்கு,மகர ஈற்று
உருவபடத்துக்கு,உருவப்படத்துக்கு,மகர ஈற்று
உருவாக்க கருத்தில்,உருவாக்கக் கருத்தில்,மகர ஈற்று
உலககோப்பைக்கு,உலகக்கோப்பைக்கு,மகர ஈற்று
உலகத்தர கல்வியை,உலகத்தரக் கல்வியை,மகர ஈற்று
உழைத்தத் தொழிலாளர்களின்,உழைத்த தொழிலாளர்களின்,மகர ஈற்று
உள்ளடக்கதிற்கான நிதி,உள்ளடக்கத்திற்கான நிதி,மகர ஈற்று
ஊக்க சக்தியாக,ஊக்கச் சக்தியாக,மகர ஈற்று
ஊக்க படுத்தப்படும்,ஊக்கப் படுத்தப்படும்,மகர ஈற்று
எதிர்கால கல்வி,எதிர்காலக் கல்வி,மகர ஈற்று
எதிர்கால சவால்களை,எதிர்காலச் சவால்களை,மகர ஈற்று
எதிர்கால தலைமுறை,எதிர்காலத் தலைமுறை,மகர ஈற்று
எதிர்கால பள்ளிக்கல்விக்கும்,எதிர்காலப் பள்ளிக்கல்விக்கும்,மகர ஈற்று
எதிர்கால பொருளாதார,எதிர்காலப் பொருளாதார,மகர ஈற்று
எல்லா சாத்தியமான,எல்லாச் சாத்தியமான,மகர ஈற்று
எல்லா பள்ளி,எல்லாப் பள்ளி,மகர ஈற்று
எல்லா பள்ளிகளிலும்,எல்லாப் பள்ளிகளிலும்,மகர ஈற்று
ஒட்டுமொத்த கட்டமைப்பு,ஒட்டுமொத்தக் கட்டமைப்பு,மகர ஈற்று
ஒட்டுமொத்த கல்வி,ஒட்டுமொத்தக் கல்வி,மகர ஈற்று
ஒட்டுமொத்த கற்றல்,ஒட்டுமொத்தக் கற்றல்,மகர ஈற்று
ஒட்டுமொத்த செயல்திறனை,ஒட்டுமொத்தச் செயல்திறனை,மகர ஈற்று
ஓட்டளித்தப் பின்னர்,ஓட்டளித்த பின்னர்,மகர ஈற்று
கடந்தப் போட்டியில்,கடந்த போட்டியில்,மகர ஈற்று
கட்டண கொள்ளை,கட்டணக் கொள்ளை,மகர ஈற்று
கட்டண சலுகை,கட்டணச் சலுகை,மகர ஈற்று
கட்டண தள்ளுபடிகள்,கட்டணத் தள்ளுபடிகள்,மகர ஈற்று
கணித கல்வி,கணிதக் கல்வி,மகர ஈற்று
கணித சிந்தனை,கணிதச் சிந்தனை,மகர ஈற்று
கணித சிந்தனையும்,கணிதச் சிந்தனையும்,மகர ஈற்று
கணித சிந்தனையை,கணிதச் சிந்தனையை,மகர ஈற்று
கணித பாடங்களைப்பற்றி,கணிதப் பாடங்களைப்பற்றி,மகர ஈற்று
கண்டண ஆர்பாட்டம்1999 ல்,கண்டன ஆர்ப்பாட்டம்1999 இல்,மகர ஈற்று
கண்டன பொதுக்கூட்டம்,கண்டனப் பொதுக்கூட்டம்,மகர ஈற்று
கதிரியக்க சோதனையின்,கதிரியக்கச் சோதனையின்,மகர ஈற்று
கலாச்சார செல்வத்தைப்,கலாச்சாரச் செல்வத்தைப்,மகர ஈற்று
கலாச்சார செறிவிற்கும்,கலாச்சாரச் செறிவிற்கும்,மகர ஈற்று
கலாச்சார தொடர்புகளை,கலாச்சாரத் தொடர்புகளை,மகர ஈற்று
கலாச்சார பரிமாற்றத்,கலாச்சாரப் பரிமாற்றத்,மகர ஈற்று
கலாச்சார பன்முகத்தன்மையைக்,கலாச்சாரப் பன்முகத்தன்மையைக்,மகர ஈற்று
கலாச்சார பாதுகாப்பு,கலாச்சாரப் பாதுகாப்பு,மகர ஈற்று
கலாச்சார பாரம்பரியத்தையும்,கலாச்சாரப் பாரம்பரியத்தையும்,மகர ஈற்று
கழக செய்தித் தொடர்பு,கழகச் செய்தித் தொடர்பு,மகர ஈற்று
கழக தலைவர்,கழகத் தலைவர்,மகர ஈற்று
கால சான்றிதழ்,காலச் சான்றிதழ்,மகர ஈற்று
கால திட்டத்தின்,காலத் திட்டத்தின்,மகர ஈற்று
கால தொலைநோக்கு,காலத் தொலைநோக்கு,மகர ஈற்று
காலக்கட்டத்திலும் சத்தமின்றி,காலகட்டத்திலும் சத்தமின்றி,மகர ஈற்று
கிராமபுற மக்கள்,கிராமப்புற மக்கள்,மகர ஈற்று
கிராமப்புற பகுதிகளில்,கிராமப்புறப் பகுதிகளில்,மகர ஈற்று
கிராமப்புற பகுதிகளுக்கும்,கிராமப்புறப் பகுதிகளுக்கும்,மகர ஈற்று
கிராமப்புற பள்ளிகளில்,கிராமப்புறப் பள்ளிகளில்,மகர ஈற்று
கிராமப்புற பின்னணியைச்,கிராமப்புறப் பின்னணியைச்,மகர ஈற்று
குறைந்தபட்ச கல்வித்தகுதியாக்கப்படும்,குறைந்தபட்சக் கல்வித்தகுதியாக்கப்படும்,மகர ஈற்று
குறைந்தபட்ச கால,குறைந்தபட்சக் கால,மகர ஈற்று
குறைந்தபட்ச பட்டப்படிப்பு,குறைந்தபட்சப் பட்டப்படிப்பு,மகர ஈற்று
சமஸ்கிருத துறையானது,சமஸ்கிருதத் துறையானது,மகர ஈற்று
சமூக சிந்தனையுள்ள,சமூகச் சிந்தனையுள்ள,மகர ஈற்று
சமூக தளங்களில்,சமூகத் தளங்களில்,மகர ஈற்று
சமூக பணியாளர்கள்,சமூகப் பணியாளர்கள்,மகர ஈற்று
சமூக பிரச்சினைகள்,சமூகப் பிரச்சினைகள்,மகர ஈற்று
சமூககுழுக்கள்,சமூகக்குழுக்கள்,மகர ஈற்று
சர்வதேச கல்வி,சர்வதேசக் கல்வி,மகர ஈற்று
சர்வதேச தொழிலாளர்,சர்வதேசத் தொழிலாளர்,மகர ஈற்று
சர்வதேச பணிமனைகள்,சர்வதேசப் பணிமனைகள்,மகர ஈற்று
சாகடித்தப் பெருமை,சாகடித்த பெருமை,மகர ஈற்று
சுகாதார சோதனைகளை,சுகாதாரச் சோதனைகளை,மகர ஈற்று
சுகாதார சோதனைகள்,சுகாதாரச் சோதனைகள்,மகர ஈற்று
சுகாதாரதுறையும்,சுகாதாரத்துறையும்,மகர ஈற்று
சுங்கசாவடி,சுங்கச்சாவடி,மகர ஈற்று
சொந்த கலாச்சார,சொந்தக் கலாச்சார,மகர ஈற்று
சொந்த கல்வி,சொந்தக் கல்வி,மகர ஈற்று
சொந்த தலைமைப்பண்பு,சொந்தத் தலைமைப்பண்பு,மகர ஈற்று
சொந்த படைப்புகள்,சொந்தப் படைப்புகள்,மகர ஈற்று
சொந்த பாடத்திட்ட,சொந்தப் பாடத்திட்ட,மகர ஈற்று
சொந்த பாடத்திட்டங்களைத்,சொந்தப் பாடத்திட்டங்களைத்,மகர ஈற்று
சொந்தகாரி 7,சொந்தக்காரி 7,மகர ஈற்று
சொன்னக் கதையில்,சொன்ன கதையில்,மகர ஈற்று
தமிழக சட்டமன்றத்திலும்,தமிழகச் சட்டமன்றத்திலும்,மகர ஈற்று
தமிழக தொல்லியல்,தமிழகத் தொல்லியல்,மகர ஈற்று
தரநிர்ணய சபை,தரநிர்ணயச் சபை,மகர ஈற்று
தலைமைத்துவ பதவிகள்,தலைமைத்துவப் பதவிகள்,மகர ஈற்று
தன்னார்வ சமூகம்,தன்னார்வச் சமூகம்,மகர ஈற்று
தன்னார்வ தொண்டு,தன்னார்வத் தொண்டு,மகர ஈற்று
தன்னார்வ பயிற்றுவிப்பாளர்களுடன்,தன்னார்வப் பயிற்றுவிப்பாளர்களுடன்,மகர ஈற்று
திட்ட கட்டமைப்பில்,திட்டக் கட்டமைப்பில்,மகர ஈற்று
திட்ட கட்டமைப்பு,திட்டக் கட்டமைப்பு,மகர ஈற்று
திட்ட கட்டமைப்பை,திட்டக் கட்டமைப்பை,மகர ஈற்று
துவக்க காலங்களில்,துவக்கக் காலங்களில்,மகர ஈற்று
தெப்பகுளம் மடை,தெப்பக்குளம் மடை,மகர ஈற்று
தேசிய கல்வி,தேசியக் கல்வி,மகர ஈற்று
தேசிய கல்விக்,தேசியக் கல்விக்,மகர ஈற்று
தேசிய சாதனை,தேசியச் சாதனை,மகர ஈற்று
தேசிய தரநிர்ணய,தேசியத் தரநிர்ணய,மகர ஈற்று
தேசிய திறன்,தேசியத் திறன்,மகர ஈற்று
தேசிய தின பேரணி,தேசிய தினப் பேரணி,மகர ஈற்று
தேசிய தேர்வு,தேசியத் தேர்வு,மகர ஈற்று
தேசிய தொழில்முறை,தேசியத் தொழில்முறை,மகர ஈற்று
தேசிய தொழிற்கல்வி,தேசியத் தொழிற்கல்வி,மகர ஈற்று
தேசிய பாடத்திட்ட,தேசியப் பாடத்திட்ட,மகர ஈற்று
தேசிய பாடத்திட்டம்,தேசியப் பாடத்திட்டம்,மகர ஈற்று
தேசிய பாடநூல்களில்,தேசியப் பாடநூல்களில்,மகர ஈற்று
தேசிய பாதுகாப்பு,தேசியப் பாதுகாப்பு,மகர ஈற்று
தேசிய பொருளாதாரத்திற்கு,தேசியப் பொருளாதாரத்திற்கு,மகர ஈற்று
தொடக்க கல்வியில்,தொடக்கக் கல்வியில்,மகர ஈற்று
தொடக்க பள்ளி,தொடக்கப் பள்ளி,மகர ஈற்று
தொலைதூர கற்றல்,தொலைதூரக் கற்றல்,மகர ஈற்று
தொழில்நுட்ப கோணத்தில்,தொழில்நுட்பக் கோணத்தில்,மகர ஈற்று
தொழில்நுட்ப செயல்பாடுகள்,தொழில்நுட்பச் செயல்பாடுகள்,மகர ஈற்று
தொழில்நுட்ப தளங்களைப்,தொழில்நுட்பத் தளங்களைப்,மகர ஈற்று
தொழில்நுட்ப பயன்பாடும்,தொழில்நுட்பப் பயன்பாடும்,மகர ஈற்று
நகர கழகச்,நகரக் கழகச்,மகர ஈற்று
நகர திட்டமிடல்,நகரத் திட்டமிடல்,மகர ஈற்று
நகர் பகுதியில்,நகர்ப் பகுதியில்,மகர ஈற்று
நடத்தியப் போராட்டங்களில்,நடத்திய போராட்டங்களில்,மகர ஈற்று
நல சங்கம்,நலச் சங்கம்,மகர ஈற்று
நாடாளுமன்ற தேர்தலில்,நாடாளுமன்றத் தேர்தலில்,மகர ஈற்று
நாட்டுபுற கலைகள்,நாட்டுப்புறக் கலைகள்,மகர ஈற்று
நாட்டுப்புற பாடல்கள்,நாட்டுப்புறப் பாடல்கள்,மகர ஈற்று
நிபுணத்துவ தேவைகளின்,நிபுணத்துவத் தேவைகளின்,மகர ஈற்று
நிரந்தர பணிகளில்,நிரந்தரப் பணிகளில்,மகர ஈற்று
நிர்ணய கட்டமைப்பு,நிர்ணயக் கட்டமைப்பு,மகர ஈற்று
நிர்வாக கட்டமைப்புகள்,நிர்வாகக் கட்டமைப்புகள்,மகர ஈற்று
நிர்வாக குழுவின்,நிர்வாகக் குழுவின்,மகர ஈற்று
நிர்வாக திறன்,நிர்வாகத் திறன்,மகர ஈற்று
நிறுவன தலைவர்கள்,நிறுவனத் தலைவர்கள்,மகர ஈற்று
நிஜ பசி,நிஜப் பசி,மகர ஈற்று
நீதிமன்றகாவலில் வைக்கப்பட்டுள்ளார்,நீதிமன்றக் காவலில் வைக்கப்பட்டுள்ளார்,மகர ஈற்று
நூறு சதவீத தேர்ச்சயை,நூறு சதவீதத் தேர்ச்சியை,மகர ஈற்று
நேர சோதனை,நேரச் சோதனை,மகர ஈற்று
நேர பணி,நேரப் பணி,மகர ஈற்று
படபிடிப்பில்,படப்பிடிப்பில்,மகர ஈற்று
படபிடிப்பு,படப்பிடிப்பு,மகர ஈற்று
படபிடிப்பு நடந்து,படப்பிடிப்பு நடந்து,மகர ஈற்று
படபிடிப்பு வடசென்னை,படப்பிடிப்பு வடசென்னை,மகர ஈற்று
பண பரிவர்த்தனைகளை,பணப் பரிவர்த்தனைகளை,மகர ஈற்று
பரிமாண தோற்ற,பரிமாணத் தோற்ற,மகர ஈற்று
பருவ கல்வி,பருவக் கல்வி,மகர ஈற்று
பருவ கல்வியை,பருவக் கல்வியை,மகர ஈற்று
பல்கலைக்கழக துணைவேந்தர்,பல்கலைக்கழகத் துணைவேந்தர்,மகர ஈற்று
பல்கலைக்கழக பேராசிரியர்,பல்கலைக்கழகப் பேராசிரியர்,மகர ஈற்று
பழக்கபட்ட காட்சியாகி,பழக்கப்பட்ட காட்சியாகி,மகர ஈற்று
பன்முக கற்றல்,பன்முகக் கற்றல்,மகர ஈற்று
பன்முக சமூகத்தில்,பன்முகச் சமூகத்தில்,மகர ஈற்று
பாட கல்வியை,பாடக் கல்வியை,மகர ஈற்று
பாட கற்பித்தல்,பாடக் கற்பித்தல்,மகர ஈற்று
பாட சேர்க்கைகளை,பாடச் சேர்க்கைகளை,மகர ஈற்று
பாட திட்டங்களை,பாடத் திட்டங்களை,மகர ஈற்று
பாட திட்டங்கள்,பாடத் திட்டங்கள்,மகர ஈற்று
பாட திட்டத்தை,பாடத் திட்டத்தை,மகர ஈற்று
பாட திட்டம்,பாடத் திட்டம்,மகர ஈற்று
பாடதிட்ட வகைகளிலும்,பாடத்திட்ட வகைகளிலும்,மகர ஈற்று
பாடதிட்டங்களில் பேரசிரியர்கள்,பாடத்திட்டங்களில் பேரசிரியர்கள்,மகர ஈற்று
பாடதிட்டங்களை உருவாக்குதல்,பாடத்திட்டங்களை உருவாக்குதல்,மகர ஈற்று
பாடதிட்டமானது சுவாரசியமானதாகவும்,பாடத்திட்டமானது சுவாரசியமானதாகவும்,மகர ஈற்று
பாடதிட்டமும் கற்பித்தலும்,பாடத்திட்டமும் கற்பித்தலும்,மகர ஈற்று
பாடத்திட்ட கட்டமைப்பில்,பாடத்திட்டக் கட்டமைப்பில்,மகர ஈற்று
பாடத்திட்ட கட்டமைப்பிற்குள்,பாடத்திட்டக் கட்டமைப்பிற்குள்,மகர ஈற்று
பாடத்திட்ட கட்டமைப்பு,பாடத்திட்டக் கட்டமைப்பு,மகர ஈற்று
பாடத்திட்ட கட்டமைப்புகள்,பாடத்திட்டக் கட்டமைப்புகள்,மகர ஈற்று
பாடத்திட்ட கட்டமைப்பை,பாடத்திட்டக் கட்டமைப்பை,மகர ஈற்று
பாடத்திட்ட கட்டமைப்பைத்,பாடத்திட்டக் கட்டமைப்பைத்,மகர ஈற்று
பாடத்திட்ட கற்பித்தல்,பாடத்திட்டக் கற்பித்தல்,மகர ஈற்று
பாடத்திட்ட பாணி,பாடத்திட்டப் பாணி,மகர ஈற்று
பாடத்திட்டதின் உள்ளடக்கத்தை,பாடத்திட்டத்தின் உள்ளடக்கத்தை,மகர ஈற்று
பாடபுத்தகங்கள்,பாடப்புத்தகங்கள்,மகர ஈற்று
பாடபுத்தகங்கள் மற்றும்,பாடப்புத்தகங்கள் மற்றும்,மகர ஈற்று
பாதாள சாக்கடை,பாதாளச் சாக்கடை,மகர ஈற்று
பாதித்தக் கொடிய,பாதித்த கொடிய,மகர ஈற்று
பாரம்பரிய தளங்கள்,பாரம்பரியத் தளங்கள்,மகர ஈற்று
பாரம்பரிய படிப்புகளான,பாரம்பரியப் படிப்புகளான,மகர ஈற்று
பாராளுமன்ற தேர்தலுக்கு,பாராளுமன்றத் தேர்தலுக்கு,மகர ஈற்று
பாராளுமன்ற தேர்தல்,பாராளுமன்றத் தேர்தல்,மகர ஈற்று
பாலின சமத்துவம்,பாலினச் சமத்துவம்,மகர ஈற்று
பாலின சமநிலையை,பாலினச் சமநிலையை,மகர ஈற்று
பிரதான கல்வி,பிரதானக் கல்வி,மகர ஈற்று
பிரதான கல்வியோடு,பிரதானக் கல்வியோடு,மகர ஈற்று
பிராந்திய சைகை,பிராந்தியச் சைகை,மகர ஈற்று
பிராந்திய புவியியல்,பிராந்தியப் புவியியல்,மகர ஈற்று
பிற்கால கட்டங்களுக்குச்,பிற்காலக் கட்டங்களுக்குச்,மகர ஈற்று
புகைப்படகலைஞர்களில் நான்,புகைப்படக் கலைஞர்களில் நான்,மகர ஈற்று
புத்தாக்ககல்வி நிலையங்கள்,புத்தாக்கக்கல்வி நிலையங்கள்,மகர ஈற்று
பொருளாதார கணக்கீட்டின்படி,பொருளாதாரக் கணக்கீட்டின்படி,மகர ஈற்று
பொருளாதார கல்வியறிவு,பொருளாதாரக் கல்வியறிவு,மகர ஈற்று
பொருளாதார சூழல்கள்,பொருளாதாரச் சூழல்கள்,மகர ஈற்று
பொருளாதார தடைகள்,பொருளாதாரத் தடைகள்,மகர ஈற்று
பொருளாதார தன்னிறைவையும்,பொருளாதாரத் தன்னிறைவையும்,மகர ஈற்று
பொருளாதார பின்புலங்களின்,பொருளாதாரப் பின்புலங்களின்,மகர ஈற்று
போராட்ட குழுவினர்,போராட்டக் குழுவினர்,மகர ஈற்று
மண்டல செயலாளர்,மண்டலச்செயலாளர்,மகர ஈற்று
மதிப்பீட்டு கருவிகளும்,மதிப்பீட்டுக் கருவிகளும்,மகர ஈற்று
மதுபான போத்தல்,மதுபானப் போத்தல்,மகர ஈற்று
மருத்துவ படிப்புகளிலும்,மருத்துவப் படிப்புகளிலும்,மகர ஈற்று
மன சமநிலை,மனச் சமநிலை,மகர ஈற்று
மனிதநேய கல்வியுடன்,மனிதநேயக் கல்வியுடன்,மகர ஈற்று
மாத பயிற்சி,மாதப் பயிற்சி,மகர ஈற்று
மாநில கட்சிகள்,மாநிலக் கட்சிகள்,மகர ஈற்று
மாநில கட்சிக்கு,மாநிலக் கட்சிக்கு,மகர ஈற்று
மாநில தேர்தல் ஆணையம்,மாநிலத் தேர்தல் ஆணையம்,மகர ஈற்று
மானிய திட்டங்களுக்கு,மானியத் திட்டங்களுக்கு,மகர ஈற்று
முன்னேற்ற பாதையின்,முன்னேற்றப் பாதையின்,மகர ஈற்று
மெத்தனபோக்குடன் செயல்பட்டதால்,மெத்தனப்போக்குடன் செயல்பட்டதால்,மகர ஈற்று
மொத்த செலவினங்களில்,மொத்தச் செலவினங்களில்,மகர ஈற்று
மொத்த சேர்க்கை,மொத்தச் சேர்க்கை,மகர ஈற்று
வசூலித்தக் குற்றத்திற்காக,வசூலித்த குற்றத்திற்காக,மகர ஈற்று
வருங்கால சந்ததியினருக்காகப்,வருங்காலச் சந்ததியினருக்காகப்,மகர ஈற்று
வருட கல்வியானது,வருடக் கல்வியானது,மகர ஈற்று
வருட பட்டப்,வருடப் பட்டப்,மகர ஈற்று
வருட பலதரப்பட்ட,வருடப் பலதரப்பட்ட,மகர ஈற்று
வருடாந்திர கூட்டு,வருடாந்திரக் கூட்டு,மகர ஈற்று
வருமான சான்றிதழ்,வருமானச் சான்றிதழ்,மகர ஈற்று
வாழ்வாதார பிரச்சினைகள்,வாழ்வாதாரப் பிரச்சினைகள்,மகர ஈற்று
விண்ணப்ப கட்டணம்,விண்ணப்பக் கட்டணம்,மகர ஈற்று
விமர்சன சிந்தனை,விமர்சனச் சிந்தனை,மகர ஈற்று
விமர்சன சிந்தனைக்கு,விமர்சனச் சிந்தனைக்கு,மகர ஈற்று
விமர்சன சிந்தனையை,விமர்சனச் சிந்தனையை,மகர ஈற்று
விமர்சன பார்வைக்கு,விமர்சனப் பார்வைக்கு,மகர ஈற்று
விமானதளத்திற்கு,விமானத்தளத்திற்கு,மகர ஈற்று
விருப்ப பாடங்களை,விருப்பப் பாடங்களை,மகர ஈற்று
விருப்பப்பாட திட்டம்,விருப்பப்பாடத் திட்டம்,மகர ஈற்று
விவசாய கிணறுகளில்,விவசாயக் கிணறுகளில்,மகர ஈற்று
விவசாய தொழிலாளர்கள்,விவசாயத் தொழிலாளர்கள்,மகர ஈற்று
விவசாய பணியில்,விவசாயப் பணியில்,மகர ஈற்று
விவசாய பல்கலைக்கழகங்கள்,விவசாயப் பல்கலைக்கழகங்கள்,மகர ஈற்று
விவசாயக் தொழில்நுட்பப்பூங்காக்கள்,விவசாயத் தொழில்நுட்பப்பூங்காக்கள்,மகர ஈற்று
வெப்பசலனம் காரணமாகத்,வெப்பச்சலனம் காரணமாகத்,மகர ஈற்று
ஜனநாயக சமூகத்திற்கு,ஜனநாயகச் சமூகத்திற்கு,மகர ஈற்று
அகழ்வாராச்சி பகுதிகளில்,அகழ்வாராய்ச்சி பகுதிகளில்,பேச்சுவழக்கு
இன்னோரு மகளை,இன்னொரு மகளை,பேச்சுவழக்கு
என்றோரு பெயர்,என்றொரு பெயர்,பேச்சுவழக்கு
தட்பவெட்ப நிலையை,தட்பவெப்ப நிலையை,பேச்சுவழக்கு
பதினோரு வயதிருக்கும்,பதினொரு வயதிருக்கும்,பேச்சுவழக்கு
மற்றுமின்றி,மட்டுமின்றி,பேச்சுவழக்கு
அடமானமாக இருந்தாலும்,அடைமானமாக இருந்தாலும்,பேச்சு வழக்கு
அடமானம் வைக்க,அடைமானம் வைக்க,பேச்சு வழக்கு
அடமானம் வைத்துக்,அடைமானம் வைத்துக்,பேச்சு வழக்கு
அடிக்கியது,அடுக்கியது,பேச்சு வழக்கு
அடிச்சது மட்டும்,அடித்தது மட்டும்,பேச்சு வழக்கு
அடிப்பாரு தெரியுமா,அடிப்பார் தெரியுமா,பேச்சு வழக்கு
அத கண்டுபுடுச்சு,அதை கண்டுபுடுச்சு,பேச்சு வழக்கு
அதனால,அதனால்,பேச்சு வழக்கு
அதிகமாவே இருக்கும்,அதிகமாகவே இருக்கும்,பேச்சு வழக்கு
அதிகாரிங்களை களமிறக்கி,அதிகாரிகளை களமிறக்கி,பேச்சு வழக்கு
அதுனாலே இரெண்டு,அதனாலே இரெண்டு,பேச்சு வழக்கு
அதுனாலே நீ,அதனாலே நீ,பேச்சு வழக்கு
அதுனாலே நீங்க,அதனாலே நீங்க,பேச்சு வழக்கு
அப்படினு அப்பா,அப்படியென்று அப்பா,பேச்சு வழக்கு
அப்படின்னா பாட்டி,அப்படியென்றால் பாட்டி,பேச்சு வழக்கு
அப்படின்னு,அப்படியென்று,பேச்சு வழக்கு
அப்படின்னு அம்மா,அப்படியென்று அம்மா,பேச்சு வழக்கு
அப்படின்னு அரவிந்தன்,அப்படியென்று அரவிந்தன்,பேச்சு வழக்கு
அப்பாகிட்ட கேட்டியா,அப்பாவிடம் கேட்டியா,பேச்சு வழக்கு
அப்போ,அப்போது,பேச்சு வழக்கு
அப்போதிய விளைவுகளுக்கு,அப்போதைய விளைவுகளுக்கு,பேச்சு வழக்கு
அம்மாவாதான் இருக்கணும்ன்னு,அம்மாவாகத்தான் இருக்கணும்ன்னு,பேச்சு வழக்கு
அவங்க,அவர்கள்,பேச்சு வழக்கு
அவங்க எல்லோரும்,அவர்கள் எல்லோரும்,பேச்சு வழக்கு
அவங்களுக்கு ஆம்லெட்,அவர்களுக்கு ஆம்லெட்,பேச்சு வழக்கு
அவரு,அவர்,பேச்சு வழக்கு
அவர்கிட்ட நான்,அவரிடம் நான்,பேச்சு வழக்கு
அவள எப்ப,அவளை எப்ப,பேச்சு வழக்கு
அவனோட சம்பளத்துல,அவனுடைய சம்பளத்துல,பேச்சு வழக்கு
அழகின்னு சொல்லிட்டேன்னா,அழகியென்று சொல்லிட்டேன்னா,பேச்சு வழக்கு
அழகின்னு நினைப்பு,அழகியென்று நினைப்பு,பேச்சு வழக்கு
அழாதீங்க,அழாதீர்கள்,பேச்சு வழக்கு
அழைச்சிட்டு வந்தா,அழைத்துக்கொண்டு வந்தா,பேச்சு வழக்கு
அன்னிக்கு,அன்றைக்கு,பேச்சு வழக்கு
ஆகணும்,ஆகவேண்டும்,பேச்சு வழக்கு
ஆச்சே,ஆயிற்றே,பேச்சு வழக்கு
ஆளுங்க பத்தி,ஆட்கள் பத்தி,பேச்சு வழக்கு
ஆள்நடமாற்றமற்ற,ஆள்நடமாட்டமற்ற,பேச்சு வழக்கு
ஆனா என்றான்,ஆனால் என்றான்,பேச்சு வழக்கு
ஆனா தெரியாது,ஆனால் தெரியாது,பேச்சு வழக்கு
ஆனா நல்ல,ஆனால் நல்ல,பேச்சு வழக்கு
இங்க இருக்க,இங்கே இருக்க,பேச்சு வழக்கு
இங்க வந்து,இங்கே வந்து,பேச்சு வழக்கு
இங்கயே தங்கிவிட்டனர்,இங்கேயே தங்கிவிட்டனர்,பேச்சு வழக்கு
இதுகளுக்கு,இவற்றுக்கு,பேச்சு வழக்கு
இதுக்கு மேல,இதற்கு மேல,பேச்சு வழக்கு
இப்போ,இப்போது,பேச்சு வழக்கு
இருகிறது,இருக்கிறது,பேச்சு வழக்கு
இருக்கணுமா,இருக்கவேண்டுமா,பேச்சு வழக்கு
இருக்கணும்,இருக்கவேண்டும்,பேச்சு வழக்கு
இருக்கணும்ன்னு சினேகா,இருக்கவேண்டுமென்று சினேகா,பேச்சு வழக்கு
இருக்கலாம்ல,இருக்கலாம்,பேச்சு வழக்கு
இருக்கறபோ வந்ததற்கு,இருக்கப்போ வந்ததற்கு,பேச்சு வழக்கு
இருக்கனும்,இருக்கவேண்டும்,பேச்சு வழக்கு
இருக்கனும் போல,இருக்கவேண்டும் போல,பேச்சு வழக்கு
இருக்காங்க,இருக்கிறார்கள்,பேச்சு வழக்கு
இருக்காம்,"இருக்கிறதாம்,இருகொள்ளாம்,இறுக்காம்,இருக்கம்",பேச்சு வழக்கு
